,음식,label,구간
46,"('곤드레나물밥', '초당순두부', '달래나물무침')",87,21
47,"('곤드레나물밥', '초당순두부', '더덕무침')",88,21
48,"('곤드레나물밥', '초당순두부', '도토리묵')",89,21
49,"('곤드레나물밥', '초당순두부', '청포묵무침')",94,21
50,"('곤드레나물밥', '초당순두부', '깻잎나물볶음')",86,21
51,"('곤드레나물밥', '초당순두부', '표고버섯볶음')",97,21
52,"('곤드레나물밥', '초당순두부', '버섯구이')",92,21
53,"('곤드레나물밥', '초당순두부', '새송이버섯구이')",93,21
54,"('곤드레나물밥', '초당순두부', '가지나물무침')",84,20
55,"('곤드레나물밥', '초당순두부', '고사리나물무침')",85,21
56,"('곤드레나물밥', '냉이된장국', '도토리묵말이')",6,20
57,"('곤드레나물밥', '냉이된장국', '콩나물무침')",12,13
58,"('곤드레나물밥', '냉이된장국', '취나물')",11,14
59,"('곤드레나물밥', '냉이된장국', '미나리나물')",7,12
60,"('곤드레나물밥', '냉이된장국', '달래나물무침')",3,15
61,"('곤드레나물밥', '냉이된장국', '더덕무침')",4,18
62,"('곤드레나물밥', '냉이된장국', '도토리묵')",5,13
63,"('곤드레나물밥', '냉이된장국', '청포묵무침')",10,16
64,"('곤드레나물밥', '냉이된장국', '깻잎나물볶음')",2,17
65,"('곤드레나물밥', '냉이된장국', '표고버섯볶음')",13,16
66,"('곤드레나물밥', '냉이된장국', '버섯구이')",8,13
67,"('곤드레나물밥', '냉이된장국', '새송이버섯구이')",9,14
68,"('곤드레나물밥', '냉이된장국', '가지나물무침')",0,12
69,"('곤드레나물밥', '냉이된장국', '고사리나물무침')",1,13
70,"('곤드레나물밥', '메밀묵국', '도토리묵말이')",20,20
71,"('곤드레나물밥', '메밀묵국', '콩나물무침')",26,13
72,"('곤드레나물밥', '메밀묵국', '취나물')",25,14
73,"('곤드레나물밥', '메밀묵국', '미나리나물')",21,12
74,"('곤드레나물밥', '메밀묵국', '달래나물무침')",17,15
75,"('곤드레나물밥', '메밀묵국', '더덕무침')",18,18
76,"('곤드레나물밥', '메밀묵국', '도토리묵')",19,13
77,"('곤드레나물밥', '메밀묵국', '청포묵무침')",24,16
78,"('곤드레나물밥', '메밀묵국', '깻잎나물볶음')",16,17
79,"('곤드레나물밥', '메밀묵국', '표고버섯볶음')",27,16
80,"('곤드레나물밥', '메밀묵국', '버섯구이')",22,13
81,"('곤드레나물밥', '메밀묵국', '새송이버섯구이')",23,14
82,"('곤드레나물밥', '메밀묵국', '가지나물무침')",14,12
83,"('곤드레나물밥', '메밀묵국', '고사리나물무침')",15,13
84,"('곤드레나물밥', '미역국', '도토리묵말이')",62,20
85,"('곤드레나물밥', '미역국', '콩나물무침')",68,11
86,"('곤드레나물밥', '미역국', '취나물')",67,13
87,"('곤드레나물밥', '미역국', '미나리나물')",63,10
88,"('곤드레나물밥', '미역국', '달래나물무침')",59,15
89,"('곤드레나물밥', '미역국', '더덕무침')",60,17
90,"('곤드레나물밥', '미역국', '도토리묵')",61,11
91,"('곤드레나물밥', '미역국', '청포묵무침')",66,15
92,"('곤드레나물밥', '미역국', '깻잎나물볶음')",58,17
93,"('곤드레나물밥', '미역국', '표고버섯볶음')",69,15
94,"('곤드레나물밥', '미역국', '버섯구이')",64,11
95,"('곤드레나물밥', '미역국', '새송이버섯구이')",65,12
96,"('곤드레나물밥', '미역국', '가지나물무침')",56,10
97,"('곤드레나물밥', '미역국', '고사리나물무침')",57,11
98,"('오곡밥', '무된장국', '도토리묵말이')",524,20
99,"('오곡밥', '무된장국', '콩나물무침')",530,7
100,"('오곡밥', '무된장국', '취나물')",529,9
101,"('오곡밥', '무된장국', '미나리나물')",525,7
102,"('오곡밥', '무된장국', '달래나물무침')",521,12
103,"('오곡밥', '무된장국', '더덕무침')",522,15
104,"('오곡밥', '무된장국', '도토리묵')",523,8
105,"('오곡밥', '무된장국', '청포묵무침')",528,13
106,"('오곡밥', '무된장국', '깻잎나물볶음')",520,14
107,"('오곡밥', '무된장국', '표고버섯볶음')",531,12
108,"('오곡밥', '무된장국', '버섯구이')",526,8
109,"('오곡밥', '무된장국', '새송이버섯구이')",527,9
110,"('오곡밥', '무된장국', '가지나물무침')",518,7
111,"('오곡밥', '무된장국', '고사리나물무침')",519,8
112,"('오곡밥', '미소된장국', '도토리묵말이')",538,19
113,"('오곡밥', '미소된장국', '콩나물무침')",544,4
114,"('오곡밥', '미소된장국', '취나물')",543,6
115,"('오곡밥', '미소된장국', '미나리나물')",539,4
116,"('오곡밥', '미소된장국', '달래나물무침')",535,9
117,"('오곡밥', '미소된장국', '더덕무침')",536,13
118,"('오곡밥', '미소된장국', '도토리묵')",537,5
119,"('오곡밥', '미소된장국', '청포묵무침')",542,9
120,"('오곡밥', '미소된장국', '깻잎나물볶음')",534,12
121,"('오곡밥', '미소된장국', '표고버섯볶음')",545,9
122,"('오곡밥', '미소된장국', '버섯구이')",540,5
123,"('오곡밥', '미소된장국', '새송이버섯구이')",541,6
124,"('오곡밥', '미소된장국', '가지나물무침')",532,4
125,"('오곡밥', '미소된장국', '고사리나물무침')",533,5
126,"('오곡밥', '시래기된장국', '도토리묵말이')",566,20
127,"('오곡밥', '시래기된장국', '콩나물무침')",572,7
128,"('오곡밥', '시래기된장국', '취나물')",571,9
129,"('오곡밥', '시래기된장국', '미나리나물')",567,7
130,"('오곡밥', '시래기된장국', '달래나물무침')",563,11
131,"('오곡밥', '시래기된장국', '더덕무침')",564,15
132,"('오곡밥', '시래기된장국', '도토리묵')",565,8
133,"('오곡밥', '시래기된장국', '청포묵무침')",570,12
134,"('오곡밥', '시래기된장국', '깻잎나물볶음')",562,14
135,"('오곡밥', '시래기된장국', '표고버섯볶음')",573,12
136,"('오곡밥', '시래기된장국', '버섯구이')",568,7
137,"('오곡밥', '시래기된장국', '새송이버섯구이')",569,8
138,"('오곡밥', '시래기된장국', '가지나물무침')",560,6
139,"('오곡밥', '시래기된장국', '고사리나물무침')",561,7
140,"('오곡밥', '초당순두부', '도토리묵말이')",580,21
141,"('오곡밥', '초당순두부', '콩나물무침')",586,20
142,"('오곡밥', '초당순두부', '취나물')",585,20
143,"('오곡밥', '초당순두부', '미나리나물')",581,20
144,"('오곡밥', '초당순두부', '달래나물무침')",577,20
145,"('오곡밥', '초당순두부', '더덕무침')",578,21
146,"('오곡밥', '초당순두부', '도토리묵')",579,20
147,"('오곡밥', '초당순두부', '청포묵무침')",584,20
148,"('오곡밥', '초당순두부', '깻잎나물볶음')",576,21
149,"('오곡밥', '초당순두부', '표고버섯볶음')",587,20
150,"('오곡밥', '초당순두부', '버섯구이')",582,20
151,"('오곡밥', '초당순두부', '새송이버섯구이')",583,20
152,"('오곡밥', '초당순두부', '가지나물무침')",574,19
153,"('오곡밥', '초당순두부', '고사리나물무침')",575,20
154,"('오곡밥', '냉이된장국', '도토리묵말이')",496,20
155,"('오곡밥', '냉이된장국', '콩나물무침')",502,7
156,"('오곡밥', '냉이된장국', '취나물')",501,8
157,"('오곡밥', '냉이된장국', '미나리나물')",497,6
158,"('오곡밥', '냉이된장국', '달래나물무침')",493,11
159,"('오곡밥', '냉이된장국', '더덕무침')",494,14
160,"('오곡밥', '냉이된장국', '도토리묵')",495,7
161,"('오곡밥', '냉이된장국', '청포묵무침')",500,11
162,"('오곡밥', '냉이된장국', '깻잎나물볶음')",492,14
163,"('오곡밥', '냉이된장국', '표고버섯볶음')",503,11
164,"('오곡밥', '냉이된장국', '버섯구이')",498,7
165,"('오곡밥', '냉이된장국', '새송이버섯구이')",499,8
166,"('오곡밥', '냉이된장국', '가지나물무침')",490,6
167,"('오곡밥', '냉이된장국', '고사리나물무침')",491,7
168,"('오곡밥', '메밀묵국', '도토리묵말이')",510,20
169,"('오곡밥', '메밀묵국', '콩나물무침')",516,7
170,"('오곡밥', '메밀묵국', '취나물')",515,8
171,"('오곡밥', '메밀묵국', '미나리나물')",511,6
172,"('오곡밥', '메밀묵국', '달래나물무침')",507,11
173,"('오곡밥', '메밀묵국', '더덕무침')",508,14
174,"('오곡밥', '메밀묵국', '도토리묵')",509,7
175,"('오곡밥', '메밀묵국', '청포묵무침')",514,12
176,"('오곡밥', '메밀묵국', '깻잎나물볶음')",506,14
177,"('오곡밥', '메밀묵국', '표고버섯볶음')",517,11
178,"('오곡밥', '메밀묵국', '버섯구이')",512,7
179,"('오곡밥', '메밀묵국', '새송이버섯구이')",513,8
180,"('오곡밥', '메밀묵국', '가지나물무침')",504,6
181,"('오곡밥', '메밀묵국', '고사리나물무침')",505,7
182,"('오곡밥', '미역국', '도토리묵말이')",552,19
183,"('오곡밥', '미역국', '콩나물무침')",558,5
184,"('오곡밥', '미역국', '취나물')",557,7
185,"('오곡밥', '미역국', '미나리나물')",553,4
186,"('오곡밥', '미역국', '달래나물무침')",549,9
187,"('오곡밥', '미역국', '더덕무침')",550,13
188,"('오곡밥', '미역국', '도토리묵')",551,5
189,"('오곡밥', '미역국', '청포묵무침')",556,10
190,"('오곡밥', '미역국', '깻잎나물볶음')",548,13
191,"('오곡밥', '미역국', '표고버섯볶음')",559,10
192,"('오곡밥', '미역국', '버섯구이')",554,5
193,"('오곡밥', '미역국', '새송이버섯구이')",555,6
194,"('오곡밥', '미역국', '가지나물무침')",546,4
195,"('오곡밥', '미역국', '고사리나물무침')",547,5
196,"('약초비빔밥', '무된장국', '도토리묵말이')",426,20
197,"('약초비빔밥', '무된장국', '콩나물무침')",432,13
198,"('약초비빔밥', '무된장국', '취나물')",431,14
199,"('약초비빔밥', '무된장국', '미나리나물')",427,13
200,"('약초비빔밥', '무된장국', '달래나물무침')",423,16
201,"('약초비빔밥', '무된장국', '더덕무침')",424,18
202,"('약초비빔밥', '무된장국', '도토리묵')",425,14
203,"('약초비빔밥', '무된장국', '청포묵무침')",430,16
204,"('약초비빔밥', '무된장국', '깻잎나물볶음')",422,18
205,"('약초비빔밥', '무된장국', '표고버섯볶음')",433,16
206,"('약초비빔밥', '무된장국', '버섯구이')",428,13
207,"('약초비빔밥', '무된장국', '새송이버섯구이')",429,14
208,"('약초비빔밥', '무된장국', '가지나물무침')",420,12
209,"('약초비빔밥', '무된장국', '고사리나물무침')",421,14
210,"('약초비빔밥', '미소된장국', '도토리묵말이')",440,20
211,"('약초비빔밥', '미소된장국', '콩나물무침')",446,10
212,"('약초비빔밥', '미소된장국', '취나물')",445,11
213,"('약초비빔밥', '미소된장국', '미나리나물')",441,10
214,"('약초비빔밥', '미소된장국', '달래나물무침')",437,14
215,"('약초비빔밥', '미소된장국', '더덕무침')",438,16
216,"('약초비빔밥', '미소된장국', '도토리묵')",439,10
217,"('약초비빔밥', '미소된장국', '청포묵무침')",444,14
218,"('약초비빔밥', '미소된장국', '깻잎나물볶음')",436,16
219,"('약초비빔밥', '미소된장국', '표고버섯볶음')",447,14
220,"('약초비빔밥', '미소된장국', '버섯구이')",442,10
221,"('약초비빔밥', '미소된장국', '새송이버섯구이')",443,11
222,"('약초비빔밥', '미소된장국', '가지나물무침')",434,9
223,"('약초비빔밥', '미소된장국', '고사리나물무침')",435,10
224,"('약초비빔밥', '시래기된장국', '도토리묵말이')",468,20
225,"('약초비빔밥', '시래기된장국', '콩나물무침')",474,13
226,"('약초비빔밥', '시래기된장국', '취나물')",473,14
227,"('약초비빔밥', '시래기된장국', '미나리나물')",469,12
228,"('약초비빔밥', '시래기된장국', '달래나물무침')",465,15
229,"('약초비빔밥', '시래기된장국', '더덕무침')",466,18
230,"('약초비빔밥', '시래기된장국', '도토리묵')",467,13
231,"('약초비빔밥', '시래기된장국', '청포묵무침')",472,16
232,"('약초비빔밥', '시래기된장국', '깻잎나물볶음')",464,17
233,"('약초비빔밥', '시래기된장국', '표고버섯볶음')",475,16
234,"('약초비빔밥', '시래기된장국', '버섯구이')",470,13
235,"('약초비빔밥', '시래기된장국', '새송이버섯구이')",471,14
236,"('약초비빔밥', '시래기된장국', '가지나물무침')",462,12
237,"('약초비빔밥', '시래기된장국', '고사리나물무침')",463,13
238,"('약초비빔밥', '초당순두부', '도토리묵말이')",482,21
239,"('약초비빔밥', '초당순두부', '콩나물무침')",488,20
240,"('약초비빔밥', '초당순두부', '취나물')",487,21
241,"('약초비빔밥', '초당순두부', '미나리나물')",483,20
242,"('약초비빔밥', '초당순두부', '달래나물무침')",479,21
243,"('약초비빔밥', '초당순두부', '더덕무침')",480,21
244,"('약초비빔밥', '초당순두부', '도토리묵')",481,20
245,"('약초비빔밥', '초당순두부', '청포묵무침')",486,21
246,"('약초비빔밥', '초당순두부', '깻잎나물볶음')",478,21
247,"('약초비빔밥', '초당순두부', '표고버섯볶음')",489,21
248,"('약초비빔밥', '초당순두부', '버섯구이')",484,20
249,"('약초비빔밥', '초당순두부', '새송이버섯구이')",485,21
250,"('약초비빔밥', '초당순두부', '가지나물무침')",476,20
251,"('약초비빔밥', '초당순두부', '고사리나물무침')",477,20
252,"('약초비빔밥', '냉이된장국', '도토리묵말이')",398,20
253,"('약초비빔밥', '냉이된장국', '콩나물무침')",404,12
254,"('약초비빔밥', '냉이된장국', '취나물')",403,14
255,"('약초비빔밥', '냉이된장국', '미나리나물')",399,12
256,"('약초비빔밥', '냉이된장국', '달래나물무침')",395,15
257,"('약초비빔밥', '냉이된장국', '더덕무침')",396,17
258,"('약초비빔밥', '냉이된장국', '도토리묵')",397,13
259,"('약초비빔밥', '냉이된장국', '청포묵무침')",402,15
260,"('약초비빔밥', '냉이된장국', '깻잎나물볶음')",394,17
261,"('약초비빔밥', '냉이된장국', '표고버섯볶음')",405,15
262,"('약초비빔밥', '냉이된장국', '버섯구이')",400,12
263,"('약초비빔밥', '냉이된장국', '새송이버섯구이')",401,14
264,"('약초비빔밥', '냉이된장국', '가지나물무침')",392,11
265,"('약초비빔밥', '냉이된장국', '고사리나물무침')",393,13
266,"('약초비빔밥', '메밀묵국', '도토리묵말이')",412,20
267,"('약초비빔밥', '메밀묵국', '콩나물무침')",418,12
268,"('약초비빔밥', '메밀묵국', '취나물')",417,14
269,"('약초비빔밥', '메밀묵국', '미나리나물')",413,12
270,"('약초비빔밥', '메밀묵국', '달래나물무침')",409,15
271,"('약초비빔밥', '메밀묵국', '더덕무침')",410,17
272,"('약초비빔밥', '메밀묵국', '도토리묵')",411,13
273,"('약초비빔밥', '메밀묵국', '청포묵무침')",416,15
274,"('약초비빔밥', '메밀묵국', '깻잎나물볶음')",408,17
275,"('약초비빔밥', '메밀묵국', '표고버섯볶음')",419,15
276,"('약초비빔밥', '메밀묵국', '버섯구이')",414,12
277,"('약초비빔밥', '메밀묵국', '새송이버섯구이')",415,14
278,"('약초비빔밥', '메밀묵국', '가지나물무침')",406,11
279,"('약초비빔밥', '메밀묵국', '고사리나물무침')",407,13
280,"('약초비빔밥', '미역국', '도토리묵말이')",454,20
281,"('약초비빔밥', '미역국', '콩나물무침')",460,10
282,"('약초비빔밥', '미역국', '취나물')",459,12
283,"('약초비빔밥', '미역국', '미나리나물')",455,10
284,"('약초비빔밥', '미역국', '달래나물무침')",451,14
285,"('약초비빔밥', '미역국', '더덕무침')",452,17
286,"('약초비빔밥', '미역국', '도토리묵')",453,11
287,"('약초비빔밥', '미역국', '청포묵무침')",458,15
288,"('약초비빔밥', '미역국', '깻잎나물볶음')",450,16
289,"('약초비빔밥', '미역국', '표고버섯볶음')",461,14
290,"('약초비빔밥', '미역국', '버섯구이')",456,10
291,"('약초비빔밥', '미역국', '새송이버섯구이')",457,11
292,"('약초비빔밥', '미역국', '가지나물무침')",448,9
293,"('약초비빔밥', '미역국', '고사리나물무침')",449,11
294,"('수수밥', '무된장국', '도토리묵말이')",328,19
295,"('수수밥', '무된장국', '콩나물무침')",334,4
296,"('수수밥', '무된장국', '취나물')",333,6
297,"('수수밥', '무된장국', '미나리나물')",329,4
298,"('수수밥', '무된장국', '달래나물무침')",325,9
299,"('수수밥', '무된장국', '더덕무침')",326,13
300,"('수수밥', '무된장국', '도토리묵')",327,5
301,"('수수밥', '무된장국', '청포묵무침')",332,9
302,"('수수밥', '무된장국', '깻잎나물볶음')",324,12
303,"('수수밥', '무된장국', '표고버섯볶음')",335,9
304,"('수수밥', '무된장국', '버섯구이')",330,5
305,"('수수밥', '무된장국', '새송이버섯구이')",331,6
306,"('수수밥', '무된장국', '가지나물무침')",322,4
307,"('수수밥', '무된장국', '고사리나물무침')",323,5
308,"('수수밥', '미소된장국', '도토리묵말이')",342,18
309,"('수수밥', '미소된장국', '콩나물무침')",348,2
310,"('수수밥', '미소된장국', '취나물')",347,4
311,"('수수밥', '미소된장국', '미나리나물')",343,2
312,"('수수밥', '미소된장국', '달래나물무침')",339,6
313,"('수수밥', '미소된장국', '더덕무침')",340,9
314,"('수수밥', '미소된장국', '도토리묵')",341,3
315,"('수수밥', '미소된장국', '청포묵무침')",346,7
316,"('수수밥', '미소된장국', '깻잎나물볶음')",338,9
317,"('수수밥', '미소된장국', '표고버섯볶음')",349,6
318,"('수수밥', '미소된장국', '버섯구이')",344,3
319,"('수수밥', '미소된장국', '새송이버섯구이')",345,4
320,"('수수밥', '미소된장국', '가지나물무침')",336,2
321,"('수수밥', '미소된장국', '고사리나물무침')",337,3
322,"('수수밥', '시래기된장국', '도토리묵말이')",370,19
323,"('수수밥', '시래기된장국', '콩나물무침')",376,4
324,"('수수밥', '시래기된장국', '취나물')",375,6
325,"('수수밥', '시래기된장국', '미나리나물')",371,4
326,"('수수밥', '시래기된장국', '달래나물무침')",367,8
327,"('수수밥', '시래기된장국', '더덕무침')",368,12
328,"('수수밥', '시래기된장국', '도토리묵')",369,4
329,"('수수밥', '시래기된장국', '청포묵무침')",374,9
330,"('수수밥', '시래기된장국', '깻잎나물볶음')",366,12
331,"('수수밥', '시래기된장국', '표고버섯볶음')",377,9
332,"('수수밥', '시래기된장국', '버섯구이')",372,4
333,"('수수밥', '시래기된장국', '새송이버섯구이')",373,5
334,"('수수밥', '시래기된장국', '가지나물무침')",364,4
335,"('수수밥', '시래기된장국', '고사리나물무침')",365,4
336,"('수수밥', '초당순두부', '도토리묵말이')",384,21
337,"('수수밥', '초당순두부', '콩나물무침')",390,19
338,"('수수밥', '초당순두부', '취나물')",389,19
339,"('수수밥', '초당순두부', '미나리나물')",385,19
340,"('수수밥', '초당순두부', '달래나물무침')",381,20
341,"('수수밥', '초당순두부', '더덕무침')",382,20
342,"('수수밥', '초당순두부', '도토리묵')",383,19
343,"('수수밥', '초당순두부', '청포묵무침')",388,20
344,"('수수밥', '초당순두부', '깻잎나물볶음')",380,20
345,"('수수밥', '초당순두부', '표고버섯볶음')",391,20
346,"('수수밥', '초당순두부', '버섯구이')",386,19
347,"('수수밥', '초당순두부', '새송이버섯구이')",387,19
348,"('수수밥', '초당순두부', '가지나물무침')",378,18
349,"('수수밥', '초당순두부', '고사리나물무침')",379,19
350,"('수수밥', '냉이된장국', '도토리묵말이')",300,18
351,"('수수밥', '냉이된장국', '콩나물무침')",306,4
352,"('수수밥', '냉이된장국', '취나물')",305,5
353,"('수수밥', '냉이된장국', '미나리나물')",301,4
354,"('수수밥', '냉이된장국', '달래나물무침')",297,8
355,"('수수밥', '냉이된장국', '더덕무침')",298,11
356,"('수수밥', '냉이된장국', '도토리묵')",299,4
357,"('수수밥', '냉이된장국', '청포묵무침')",304,8
358,"('수수밥', '냉이된장국', '깻잎나물볶음')",296,11
359,"('수수밥', '냉이된장국', '표고버섯볶음')",307,8
360,"('수수밥', '냉이된장국', '버섯구이')",302,4
361,"('수수밥', '냉이된장국', '새송이버섯구이')",303,5
362,"('수수밥', '냉이된장국', '가지나물무침')",294,4
363,"('수수밥', '냉이된장국', '고사리나물무침')",295,4
364,"('수수밥', '메밀묵국', '도토리묵말이')",314,19
365,"('수수밥', '메밀묵국', '콩나물무침')",320,4
366,"('수수밥', '메밀묵국', '취나물')",319,5
367,"('수수밥', '메밀묵국', '미나리나물')",315,4
368,"('수수밥', '메밀묵국', '달래나물무침')",311,8
369,"('수수밥', '메밀묵국', '더덕무침')",312,12
370,"('수수밥', '메밀묵국', '도토리묵')",313,4
371,"('수수밥', '메밀묵국', '청포묵무침')",318,8
372,"('수수밥', '메밀묵국', '깻잎나물볶음')",310,11
373,"('수수밥', '메밀묵국', '표고버섯볶음')",321,8
374,"('수수밥', '메밀묵국', '버섯구이')",316,4
375,"('수수밥', '메밀묵국', '새송이버섯구이')",317,5
376,"('수수밥', '메밀묵국', '가지나물무침')",308,4
377,"('수수밥', '메밀묵국', '고사리나물무침')",309,4
378,"('수수밥', '미역국', '도토리묵말이')",356,18
379,"('수수밥', '미역국', '콩나물무침')",362,3
380,"('수수밥', '미역국', '취나물')",361,4
381,"('수수밥', '미역국', '미나리나물')",357,2
382,"('수수밥', '미역국', '달래나물무침')",353,6
383,"('수수밥', '미역국', '더덕무침')",354,10
384,"('수수밥', '미역국', '도토리묵')",355,3
385,"('수수밥', '미역국', '청포묵무침')",360,7
386,"('수수밥', '미역국', '깻잎나물볶음')",352,9
387,"('수수밥', '미역국', '표고버섯볶음')",363,7
388,"('수수밥', '미역국', '버섯구이')",358,3
389,"('수수밥', '미역국', '새송이버섯구이')",359,4
390,"('수수밥', '미역국', '가지나물무침')",350,2
391,"('수수밥', '미역국', '고사리나물무침')",351,3
392,"('무밥', '무된장국', '도토리묵말이')",132,18
393,"('무밥', '무된장국', '콩나물무침')",138,3
394,"('무밥', '무된장국', '취나물')",137,4
395,"('무밥', '무된장국', '미나리나물')",133,2
396,"('무밥', '무된장국', '달래나물무침')",129,6
397,"('무밥', '무된장국', '더덕무침')",130,10
398,"('무밥', '무된장국', '도토리묵')",131,3
399,"('무밥', '무된장국', '청포묵무침')",136,7
400,"('무밥', '무된장국', '깻잎나물볶음')",128,10
401,"('무밥', '무된장국', '표고버섯볶음')",139,7
402,"('무밥', '무된장국', '버섯구이')",134,3
403,"('무밥', '무된장국', '새송이버섯구이')",135,4
404,"('무밥', '무된장국', '가지나물무침')",126,2
405,"('무밥', '무된장국', '고사리나물무침')",127,3
406,"('무밥', '미소된장국', '도토리묵말이')",146,16
407,"('무밥', '미소된장국', '콩나물무침')",152,1
408,"('무밥', '미소된장국', '취나물')",151,2
409,"('무밥', '미소된장국', '미나리나물')",147,1
410,"('무밥', '미소된장국', '달래나물무침')",143,4
411,"('무밥', '미소된장국', '더덕무침')",144,7
412,"('무밥', '미소된장국', '도토리묵')",145,1
413,"('무밥', '미소된장국', '청포묵무침')",150,4
414,"('무밥', '미소된장국', '깻잎나물볶음')",142,7
415,"('무밥', '미소된장국', '표고버섯볶음')",153,4
416,"('무밥', '미소된장국', '버섯구이')",148,1
417,"('무밥', '미소된장국', '새송이버섯구이')",149,1
418,"('무밥', '미소된장국', '가지나물무침')",140,1
419,"('무밥', '미소된장국', '고사리나물무침')",141,1
420,"('무밥', '시래기된장국', '도토리묵말이')",174,18
421,"('무밥', '시래기된장국', '콩나물무침')",180,2
422,"('무밥', '시래기된장국', '취나물')",179,4
423,"('무밥', '시래기된장국', '미나리나물')",175,2
424,"('무밥', '시래기된장국', '달래나물무침')",171,6
425,"('무밥', '시래기된장국', '더덕무침')",172,10
426,"('무밥', '시래기된장국', '도토리묵')",173,3
427,"('무밥', '시래기된장국', '청포묵무침')",178,7
428,"('무밥', '시래기된장국', '깻잎나물볶음')",170,9
429,"('무밥', '시래기된장국', '표고버섯볶음')",181,6
430,"('무밥', '시래기된장국', '버섯구이')",176,3
431,"('무밥', '시래기된장국', '새송이버섯구이')",177,4
432,"('무밥', '시래기된장국', '가지나물무침')",168,2
433,"('무밥', '시래기된장국', '고사리나물무침')",169,3
434,"('무밥', '초당순두부', '도토리묵말이')",188,21
435,"('무밥', '초당순두부', '콩나물무침')",194,18
436,"('무밥', '초당순두부', '취나물')",193,18
437,"('무밥', '초당순두부', '미나리나물')",189,17
438,"('무밥', '초당순두부', '달래나물무침')",185,19
439,"('무밥', '초당순두부', '더덕무침')",186,20
440,"('무밥', '초당순두부', '도토리묵')",187,18
441,"('무밥', '초당순두부', '청포묵무침')",192,20
442,"('무밥', '초당순두부', '깻잎나물볶음')",184,20
443,"('무밥', '초당순두부', '표고버섯볶음')",195,20
444,"('무밥', '초당순두부', '버섯구이')",190,18
445,"('무밥', '초당순두부', '새송이버섯구이')",191,18
446,"('무밥', '초당순두부', '가지나물무침')",182,17
447,"('무밥', '초당순두부', '고사리나물무침')",183,18
448,"('무밥', '냉이된장국', '도토리묵말이')",104,17
449,"('무밥', '냉이된장국', '콩나물무침')",110,2
450,"('무밥', '냉이된장국', '취나물')",109,4
451,"('무밥', '냉이된장국', '미나리나물')",105,2
452,"('무밥', '냉이된장국', '달래나물무침')",101,6
453,"('무밥', '냉이된장국', '더덕무침')",102,9
454,"('무밥', '냉이된장국', '도토리묵')",103,2
