,음식,label,구간
27,"('쌀밥(반공기)', '시래기국', '조기구이')",1693,10
28,"('쌀밥(반공기)', '시래기국', '잔멸치볶음')",1692,7
29,"('쌀밥(반공기)', '시래기국', '감자채볶음')",1681,9
30,"('쌀밥(반공기)', '시래기국', '애호박볶음')",1691,9
31,"('쌀밥(반공기)', '시래기국', '골뱅이무침')",1686,11
32,"('쌀밥(반공기)', '시래기국', '홍합무침')",1698,11
33,"('쌀밥(반공기)', '시래기국', '코다리찜')",1695,14
34,"('쌀밥(반공기)', '시래기국', '콩나물찜')",1697,20
35,"('쌀밥(반공기)', '시래기국', '훈제닭가슴살')",1699,13
36,"('쌀밥(반공기)', '시래기국', '계란프라이')",1683,9
37,"('쌀밥(반공기)', '시래기국', '계란찜')",1682,20
38,"('쌀밥(반공기)', '시래기국', '계란햄말이')",1684,14
39,"('쌀밥(반공기)', '시래기국', '쇠고기장조림')",1690,14
40,"('쌀밥(반공기)', '감자맑은국', '콩나물무침')",1556,6
41,"('쌀밥(반공기)', '감자맑은국', '고사리나물')",1545,8
42,"('쌀밥(반공기)', '감자맑은국', '버섯볶음')",1549,12
43,"('쌀밥(반공기)', '감자맑은국', '진미채볶음')",1554,17
44,"('쌀밥(반공기)', '감자맑은국', '낚지볶음')",1548,21
45,"('쌀밥(반공기)', '감자맑은국', '김치참치볶음')",1547,8
46,"('쌀밥(반공기)', '감자맑은국', '갈치구이')",1540,22
47,"('쌀밥(반공기)', '감자맑은국', '조기구이')",1553,12
48,"('쌀밥(반공기)', '감자맑은국', '잔멸치볶음')",1552,9
49,"('쌀밥(반공기)', '감자맑은국', '감자채볶음')",1541,11
50,"('쌀밥(반공기)', '감자맑은국', '애호박볶음')",1551,12
51,"('쌀밥(반공기)', '감자맑은국', '골뱅이무침')",1546,14
52,"('쌀밥(반공기)', '감자맑은국', '홍합무침')",1558,13
53,"('쌀밥(반공기)', '감자맑은국', '코다리찜')",1555,16
54,"('쌀밥(반공기)', '감자맑은국', '콩나물찜')",1557,22
55,"('쌀밥(반공기)', '감자맑은국', '훈제닭가슴살')",1559,15
56,"('쌀밥(반공기)', '감자맑은국', '계란프라이')",1543,12
57,"('쌀밥(반공기)', '감자맑은국', '계란찜')",1542,23
58,"('쌀밥(반공기)', '감자맑은국', '계란햄말이')",1544,16
59,"('쌀밥(반공기)', '감자맑은국', '쇠고기장조림')",1550,16
60,"('쌀밥(반공기)', '감자수제비국', '콩나물무침')",1576,10
61,"('쌀밥(반공기)', '감자수제비국', '고사리나물')",1565,11
62,"('쌀밥(반공기)', '감자수제비국', '버섯볶음')",1569,16
63,"('쌀밥(반공기)', '감자수제비국', '진미채볶음')",1574,20
64,"('쌀밥(반공기)', '감자수제비국', '낚지볶음')",1568,25
65,"('쌀밥(반공기)', '감자수제비국', '김치참치볶음')",1567,11
66,"('쌀밥(반공기)', '감자수제비국', '갈치구이')",1560,25
67,"('쌀밥(반공기)', '감자수제비국', '조기구이')",1573,16
68,"('쌀밥(반공기)', '감자수제비국', '잔멸치볶음')",1572,13
69,"('쌀밥(반공기)', '감자수제비국', '감자채볶음')",1561,15
70,"('쌀밥(반공기)', '감자수제비국', '애호박볶음')",1571,15
71,"('쌀밥(반공기)', '감자수제비국', '골뱅이무침')",1566,17
72,"('쌀밥(반공기)', '감자수제비국', '홍합무침')",1578,17
73,"('쌀밥(반공기)', '감자수제비국', '코다리찜')",1575,20
74,"('쌀밥(반공기)', '감자수제비국', '콩나물찜')",1577,26
75,"('쌀밥(반공기)', '감자수제비국', '훈제닭가슴살')",1579,19
76,"('쌀밥(반공기)', '감자수제비국', '계란프라이')",1563,15
77,"('쌀밥(반공기)', '감자수제비국', '계란찜')",1562,26
78,"('쌀밥(반공기)', '감자수제비국', '계란햄말이')",1564,20
79,"('쌀밥(반공기)', '감자수제비국', '쇠고기장조림')",1570,19
80,"('쌀밥(반공기)', '바지락국', '콩나물무침')",1656,5
81,"('쌀밥(반공기)', '바지락국', '고사리나물')",1645,7
82,"('쌀밥(반공기)', '바지락국', '버섯볶음')",1649,11
83,"('쌀밥(반공기)', '바지락국', '진미채볶음')",1654,15
84,"('쌀밥(반공기)', '바지락국', '낚지볶음')",1648,20
85,"('쌀밥(반공기)', '바지락국', '김치참치볶음')",1647,7
86,"('쌀밥(반공기)', '바지락국', '갈치구이')",1640,21
87,"('쌀밥(반공기)', '바지락국', '조기구이')",1653,11
88,"('쌀밥(반공기)', '바지락국', '잔멸치볶음')",1652,8
89,"('쌀밥(반공기)', '바지락국', '감자채볶음')",1641,10
90,"('쌀밥(반공기)', '바지락국', '애호박볶음')",1651,11
91,"('쌀밥(반공기)', '바지락국', '골뱅이무침')",1646,12
92,"('쌀밥(반공기)', '바지락국', '홍합무침')",1658,12
93,"('쌀밥(반공기)', '바지락국', '코다리찜')",1655,15
94,"('쌀밥(반공기)', '바지락국', '콩나물찜')",1657,21
95,"('쌀밥(반공기)', '바지락국', '훈제닭가슴살')",1659,14
96,"('쌀밥(반공기)', '바지락국', '계란프라이')",1643,10
97,"('쌀밥(반공기)', '바지락국', '계란찜')",1642,22
98,"('쌀밥(반공기)', '바지락국', '계란햄말이')",1644,15
99,"('쌀밥(반공기)', '바지락국', '쇠고기장조림')",1650,15
100,"('쌀밥(반공기)', '오징어국', '콩나물무침')",1716,7
101,"('쌀밥(반공기)', '오징어국', '고사리나물')",1705,8
102,"('쌀밥(반공기)', '오징어국', '버섯볶음')",1709,13
103,"('쌀밥(반공기)', '오징어국', '진미채볶음')",1714,17
104,"('쌀밥(반공기)', '오징어국', '낚지볶음')",1708,21
105,"('쌀밥(반공기)', '오징어국', '김치참치볶음')",1707,8
106,"('쌀밥(반공기)', '오징어국', '갈치구이')",1700,22
107,"('쌀밥(반공기)', '오징어국', '조기구이')",1713,12
108,"('쌀밥(반공기)', '오징어국', '잔멸치볶음')",1712,10
109,"('쌀밥(반공기)', '오징어국', '감자채볶음')",1701,11
110,"('쌀밥(반공기)', '오징어국', '애호박볶음')",1711,12
111,"('쌀밥(반공기)', '오징어국', '골뱅이무침')",1706,14
112,"('쌀밥(반공기)', '오징어국', '홍합무침')",1718,13
113,"('쌀밥(반공기)', '오징어국', '코다리찜')",1715,17
114,"('쌀밥(반공기)', '오징어국', '콩나물찜')",1717,22
115,"('쌀밥(반공기)', '오징어국', '훈제닭가슴살')",1719,15
116,"('쌀밥(반공기)', '오징어국', '계란프라이')",1703,12
117,"('쌀밥(반공기)', '오징어국', '계란찜')",1702,23
118,"('쌀밥(반공기)', '오징어국', '계란햄말이')",1704,17
119,"('쌀밥(반공기)', '오징어국', '쇠고기장조림')",1710,16
120,"('쌀밥(반공기)', '모시조개국', '콩나물무침')",1636,3
121,"('쌀밥(반공기)', '모시조개국', '고사리나물')",1625,4
122,"('쌀밥(반공기)', '모시조개국', '버섯볶음')",1629,9
123,"('쌀밥(반공기)', '모시조개국', '진미채볶음')",1634,13
124,"('쌀밥(반공기)', '모시조개국', '낚지볶음')",1628,18
125,"('쌀밥(반공기)', '모시조개국', '김치참치볶음')",1627,4
126,"('쌀밥(반공기)', '모시조개국', '갈치구이')",1620,18
127,"('쌀밥(반공기)', '모시조개국', '조기구이')",1633,8
128,"('쌀밥(반공기)', '모시조개국', '잔멸치볶음')",1632,6
129,"('쌀밥(반공기)', '모시조개국', '감자채볶음')",1621,7
130,"('쌀밥(반공기)', '모시조개국', '애호박볶음')",1631,8
131,"('쌀밥(반공기)', '모시조개국', '골뱅이무침')",1626,10
132,"('쌀밥(반공기)', '모시조개국', '홍합무침')",1638,9
133,"('쌀밥(반공기)', '모시조개국', '코다리찜')",1635,13
134,"('쌀밥(반공기)', '모시조개국', '콩나물찜')",1637,19
135,"('쌀밥(반공기)', '모시조개국', '훈제닭가슴살')",1639,11
136,"('쌀밥(반공기)', '모시조개국', '계란프라이')",1623,8
137,"('쌀밥(반공기)', '모시조개국', '계란찜')",1622,19
138,"('쌀밥(반공기)', '모시조개국', '계란햄말이')",1624,13
139,"('쌀밥(반공기)', '모시조개국', '쇠고기장조림')",1630,12
140,"('쌀밥(반공기)', '홍합우거지국', '콩나물무침')",1756,4
141,"('쌀밥(반공기)', '홍합우거지국', '고사리나물')",1745,5
142,"('쌀밥(반공기)', '홍합우거지국', '버섯볶음')",1749,10
143,"('쌀밥(반공기)', '홍합우거지국', '진미채볶음')",1754,14
144,"('쌀밥(반공기)', '홍합우거지국', '낚지볶음')",1748,19
145,"('쌀밥(반공기)', '홍합우거지국', '김치참치볶음')",1747,5
146,"('쌀밥(반공기)', '홍합우거지국', '갈치구이')",1740,19
147,"('쌀밥(반공기)', '홍합우거지국', '조기구이')",1753,10
148,"('쌀밥(반공기)', '홍합우거지국', '잔멸치볶음')",1752,7
149,"('쌀밥(반공기)', '홍합우거지국', '감자채볶음')",1741,9
150,"('쌀밥(반공기)', '홍합우거지국', '애호박볶음')",1751,9
151,"('쌀밥(반공기)', '홍합우거지국', '골뱅이무침')",1746,11
152,"('쌀밥(반공기)', '홍합우거지국', '홍합무침')",1758,11
153,"('쌀밥(반공기)', '홍합우거지국', '코다리찜')",1755,14
154,"('쌀밥(반공기)', '홍합우거지국', '콩나물찜')",1757,20
155,"('쌀밥(반공기)', '홍합우거지국', '훈제닭가슴살')",1759,13
156,"('쌀밥(반공기)', '홍합우거지국', '계란프라이')",1743,9
157,"('쌀밥(반공기)', '홍합우거지국', '계란찜')",1742,20
158,"('쌀밥(반공기)', '홍합우거지국', '계란햄말이')",1744,14
159,"('쌀밥(반공기)', '홍합우거지국', '쇠고기장조림')",1750,13
160,"('쌀밥(반공기)', '김치콩나물국', '콩나물무침')",1616,3
161,"('쌀밥(반공기)', '김치콩나물국', '고사리나물')",1605,4
162,"('쌀밥(반공기)', '김치콩나물국', '버섯볶음')",1609,9
163,"('쌀밥(반공기)', '김치콩나물국', '진미채볶음')",1614,13
164,"('쌀밥(반공기)', '김치콩나물국', '낚지볶음')",1608,18
165,"('쌀밥(반공기)', '김치콩나물국', '김치참치볶음')",1607,4
166,"('쌀밥(반공기)', '김치콩나물국', '갈치구이')",1600,18
167,"('쌀밥(반공기)', '김치콩나물국', '조기구이')",1613,9
168,"('쌀밥(반공기)', '김치콩나물국', '잔멸치볶음')",1612,6
169,"('쌀밥(반공기)', '김치콩나물국', '감자채볶음')",1601,8
170,"('쌀밥(반공기)', '김치콩나물국', '애호박볶음')",1611,8
171,"('쌀밥(반공기)', '김치콩나물국', '골뱅이무침')",1606,10
172,"('쌀밥(반공기)', '김치콩나물국', '홍합무침')",1618,10
173,"('쌀밥(반공기)', '김치콩나물국', '코다리찜')",1615,13
174,"('쌀밥(반공기)', '김치콩나물국', '콩나물찜')",1617,19
175,"('쌀밥(반공기)', '김치콩나물국', '훈제닭가슴살')",1619,12
176,"('쌀밥(반공기)', '김치콩나물국', '계란프라이')",1603,8
177,"('쌀밥(반공기)', '김치콩나물국', '계란찜')",1602,19
178,"('쌀밥(반공기)', '김치콩나물국', '계란햄말이')",1604,13
179,"('쌀밥(반공기)', '김치콩나물국', '쇠고기장조림')",1610,12
180,"('쌀밥(반공기)', '김치수제비국', '콩나물무침')",1596,8
181,"('쌀밥(반공기)', '김치수제비국', '고사리나물')",1585,9
182,"('쌀밥(반공기)', '김치수제비국', '버섯볶음')",1589,14
183,"('쌀밥(반공기)', '김치수제비국', '진미채볶음')",1594,18
184,"('쌀밥(반공기)', '김치수제비국', '낚지볶음')",1588,22
185,"('쌀밥(반공기)', '김치수제비국', '김치참치볶음')",1587,9
186,"('쌀밥(반공기)', '김치수제비국', '갈치구이')",1580,23
187,"('쌀밥(반공기)', '김치수제비국', '조기구이')",1593,13
188,"('쌀밥(반공기)', '김치수제비국', '잔멸치볶음')",1592,11
189,"('쌀밥(반공기)', '김치수제비국', '감자채볶음')",1581,12
190,"('쌀밥(반공기)', '김치수제비국', '애호박볶음')",1591,13
191,"('쌀밥(반공기)', '김치수제비국', '골뱅이무침')",1586,15
192,"('쌀밥(반공기)', '김치수제비국', '홍합무침')",1598,14
193,"('쌀밥(반공기)', '김치수제비국', '코다리찜')",1595,18
194,"('쌀밥(반공기)', '김치수제비국', '콩나물찜')",1597,23
195,"('쌀밥(반공기)', '김치수제비국', '훈제닭가슴살')",1599,16
196,"('쌀밥(반공기)', '김치수제비국', '계란프라이')",1583,13
197,"('쌀밥(반공기)', '김치수제비국', '계란찜')",1582,24
198,"('쌀밥(반공기)', '김치수제비국', '계란햄말이')",1584,18
199,"('쌀밥(반공기)', '김치수제비국', '쇠고기장조림')",1590,17
200,"('쌀밥(반공기)', '우거지국', '콩나물무침')",1736,4
201,"('쌀밥(반공기)', '우거지국', '고사리나물')",1725,5
202,"('쌀밥(반공기)', '우거지국', '버섯볶음')",1729,10
203,"('쌀밥(반공기)', '우거지국', '진미채볶음')",1734,14
204,"('쌀밥(반공기)', '우거지국', '낚지볶음')",1728,19
205,"('쌀밥(반공기)', '우거지국', '김치참치볶음')",1727,5
206,"('쌀밥(반공기)', '우거지국', '갈치구이')",1720,19
207,"('쌀밥(반공기)', '우거지국', '조기구이')",1733,10
208,"('쌀밥(반공기)', '우거지국', '잔멸치볶음')",1732,7
209,"('쌀밥(반공기)', '우거지국', '감자채볶음')",1721,9
210,"('쌀밥(반공기)', '우거지국', '애호박볶음')",1731,9
211,"('쌀밥(반공기)', '우거지국', '골뱅이무침')",1726,11
212,"('쌀밥(반공기)', '우거지국', '홍합무침')",1738,11
213,"('쌀밥(반공기)', '우거지국', '코다리찜')",1735,14
214,"('쌀밥(반공기)', '우거지국', '콩나물찜')",1737,20
215,"('쌀밥(반공기)', '우거지국', '훈제닭가슴살')",1739,13
216,"('쌀밥(반공기)', '우거지국', '계란프라이')",1723,9
217,"('쌀밥(반공기)', '우거지국', '계란찜')",1722,20
218,"('쌀밥(반공기)', '우거지국', '계란햄말이')",1724,14
219,"('쌀밥(반공기)', '우거지국', '쇠고기장조림')",1730,13
220,"('도토리묵밥(반공기)', '쇠고기국', '콩나물무침')",1456,8
221,"('도토리묵밥(반공기)', '쇠고기국', '고사리나물')",1445,9
222,"('도토리묵밥(반공기)', '쇠고기국', '버섯볶음')",1449,14
223,"('도토리묵밥(반공기)', '쇠고기국', '진미채볶음')",1454,18
224,"('도토리묵밥(반공기)', '쇠고기국', '낚지볶음')",1448,23
225,"('도토리묵밥(반공기)', '쇠고기국', '김치참치볶음')",1447,9
226,"('도토리묵밥(반공기)', '쇠고기국', '갈치구이')",1440,23
227,"('도토리묵밥(반공기)', '쇠고기국', '조기구이')",1453,14
228,"('도토리묵밥(반공기)', '쇠고기국', '잔멸치볶음')",1452,11
229,"('도토리묵밥(반공기)', '쇠고기국', '감자채볶음')",1441,13
230,"('도토리묵밥(반공기)', '쇠고기국', '애호박볶음')",1451,13
231,"('도토리묵밥(반공기)', '쇠고기국', '골뱅이무침')",1446,15
232,"('도토리묵밥(반공기)', '쇠고기국', '홍합무침')",1458,15
233,"('도토리묵밥(반공기)', '쇠고기국', '코다리찜')",1455,18
234,"('도토리묵밥(반공기)', '쇠고기국', '콩나물찜')",1457,24
235,"('도토리묵밥(반공기)', '쇠고기국', '훈제닭가슴살')",1459,17
236,"('도토리묵밥(반공기)', '쇠고기국', '계란프라이')",1443,13
237,"('도토리묵밥(반공기)', '쇠고기국', '계란찜')",1442,24
238,"('도토리묵밥(반공기)', '쇠고기국', '계란햄말이')",1444,18
239,"('도토리묵밥(반공기)', '쇠고기국', '쇠고기장조림')",1450,17
240,"('도토리묵밥(반공기)', '시래기국', '콩나물무침')",1476,6
241,"('도토리묵밥(반공기)', '시래기국', '고사리나물')",1465,7
242,"('도토리묵밥(반공기)', '시래기국', '버섯볶음')",1469,12
243,"('도토리묵밥(반공기)', '시래기국', '진미채볶음')",1474,16
244,"('도토리묵밥(반공기)', '시래기국', '낚지볶음')",1468,20
245,"('도토리묵밥(반공기)', '시래기국', '김치참치볶음')",1467,7
246,"('도토리묵밥(반공기)', '시래기국', '갈치구이')",1460,21
247,"('도토리묵밥(반공기)', '시래기국', '조기구이')",1473,11
248,"('도토리묵밥(반공기)', '시래기국', '잔멸치볶음')",1472,9
249,"('도토리묵밥(반공기)', '시래기국', '감자채볶음')",1461,10
250,"('도토리묵밥(반공기)', '시래기국', '애호박볶음')",1471,11
251,"('도토리묵밥(반공기)', '시래기국', '골뱅이무침')",1466,13
252,"('도토리묵밥(반공기)', '시래기국', '홍합무침')",1478,12
253,"('도토리묵밥(반공기)', '시래기국', '코다리찜')",1475,16
254,"('도토리묵밥(반공기)', '시래기국', '콩나물찜')",1477,21
255,"('도토리묵밥(반공기)', '시래기국', '훈제닭가슴살')",1479,14
256,"('도토리묵밥(반공기)', '시래기국', '계란프라이')",1463,11
257,"('도토리묵밥(반공기)', '시래기국', '계란찜')",1462,22
258,"('도토리묵밥(반공기)', '시래기국', '계란햄말이')",1464,16
259,"('도토리묵밥(반공기)', '시래기국', '쇠고기장조림')",1470,15
260,"('도토리묵밥(반공기)', '감자맑은국', '콩나물무침')",1336,8
261,"('도토리묵밥(반공기)', '감자맑은국', '고사리나물')",1325,9
262,"('도토리묵밥(반공기)', '감자맑은국', '버섯볶음')",1329,14
263,"('도토리묵밥(반공기)', '감자맑은국', '진미채볶음')",1334,18
264,"('도토리묵밥(반공기)', '감자맑은국', '낚지볶음')",1328,23
265,"('도토리묵밥(반공기)', '감자맑은국', '김치참치볶음')",1327,9
266,"('도토리묵밥(반공기)', '감자맑은국', '갈치구이')",1320,23
267,"('도토리묵밥(반공기)', '감자맑은국', '조기구이')",1333,14
268,"('도토리묵밥(반공기)', '감자맑은국', '잔멸치볶음')",1332,11
269,"('도토리묵밥(반공기)', '감자맑은국', '감자채볶음')",1321,12
270,"('도토리묵밥(반공기)', '감자맑은국', '애호박볶음')",1331,13
271,"('도토리묵밥(반공기)', '감자맑은국', '골뱅이무침')",1326,15
272,"('도토리묵밥(반공기)', '감자맑은국', '홍합무침')",1338,15
273,"('도토리묵밥(반공기)', '감자맑은국', '코다리찜')",1335,18
274,"('도토리묵밥(반공기)', '감자맑은국', '콩나물찜')",1337,24
275,"('도토리묵밥(반공기)', '감자맑은국', '훈제닭가슴살')",1339,17
276,"('도토리묵밥(반공기)', '감자맑은국', '계란프라이')",1323,13
277,"('도토리묵밥(반공기)', '감자맑은국', '계란찜')",1322,24
278,"('도토리묵밥(반공기)', '감자맑은국', '계란햄말이')",1324,18
279,"('도토리묵밥(반공기)', '감자맑은국', '쇠고기장조림')",1330,17
280,"('도토리묵밥(반공기)', '감자수제비국', '콩나물무침')",1356,11
281,"('도토리묵밥(반공기)', '감자수제비국', '고사리나물')",1345,13
282,"('도토리묵밥(반공기)', '감자수제비국', '버섯볶음')",1349,17
283,"('도토리묵밥(반공기)', '감자수제비국', '진미채볶음')",1354,21
284,"('도토리묵밥(반공기)', '감자수제비국', '낚지볶음')",1348,26
285,"('도토리묵밥(반공기)', '감자수제비국', '김치참치볶음')",1347,13
286,"('도토리묵밥(반공기)', '감자수제비국', '갈치구이')",1340,27
287,"('도토리묵밥(반공기)', '감자수제비국', '조기구이')",1353,17
288,"('도토리묵밥(반공기)', '감자수제비국', '잔멸치볶음')",1352,14
289,"('도토리묵밥(반공기)', '감자수제비국', '감자채볶음')",1341,16
290,"('도토리묵밥(반공기)', '감자수제비국', '애호박볶음')",1351,17
291,"('도토리묵밥(반공기)', '감자수제비국', '골뱅이무침')",1346,18
292,"('도토리묵밥(반공기)', '감자수제비국', '홍합무침')",1358,18
293,"('도토리묵밥(반공기)', '감자수제비국', '코다리찜')",1355,21
294,"('도토리묵밥(반공기)', '감자수제비국', '콩나물찜')",1357,27
295,"('도토리묵밥(반공기)', '감자수제비국', '훈제닭가슴살')",1359,20
296,"('도토리묵밥(반공기)', '감자수제비국', '계란프라이')",1343,16
297,"('도토리묵밥(반공기)', '감자수제비국', '계란찜')",1342,28
298,"('도토리묵밥(반공기)', '감자수제비국', '계란햄말이')",1344,21
299,"('도토리묵밥(반공기)', '감자수제비국', '쇠고기장조림')",1350,21
300,"('도토리묵밥(반공기)', '바지락국', '콩나물무침')",1436,7
301,"('도토리묵밥(반공기)', '바지락국', '고사리나물')",1425,8
302,"('도토리묵밥(반공기)', '바지락국', '버섯볶음')",1429,13
303,"('도토리묵밥(반공기)', '바지락국', '진미채볶음')",1434,17
304,"('도토리묵밥(반공기)', '바지락국', '낚지볶음')",1428,22
305,"('도토리묵밥(반공기)', '바지락국', '김치참치볶음')",1427,8
306,"('도토리묵밥(반공기)', '바지락국', '갈치구이')",1420,22
307,"('도토리묵밥(반공기)', '바지락국', '조기구이')",1433,13
308,"('도토리묵밥(반공기)', '바지락국', '잔멸치볶음')",1432,10
309,"('도토리묵밥(반공기)', '바지락국', '감자채볶음')",1421,11
310,"('도토리묵밥(반공기)', '바지락국', '애호박볶음')",1431,12
311,"('도토리묵밥(반공기)', '바지락국', '골뱅이무침')",1426,14
312,"('도토리묵밥(반공기)', '바지락국', '홍합무침')",1438,14
313,"('도토리묵밥(반공기)', '바지락국', '코다리찜')",1435,17
314,"('도토리묵밥(반공기)', '바지락국', '콩나물찜')",1437,23
315,"('도토리묵밥(반공기)', '바지락국', '훈제닭가슴살')",1439,15
316,"('도토리묵밥(반공기)', '바지락국', '계란프라이')",1423,12
317,"('도토리묵밥(반공기)', '바지락국', '계란찜')",1422,23
318,"('도토리묵밥(반공기)', '바지락국', '계란햄말이')",1424,17
319,"('도토리묵밥(반공기)', '바지락국', '쇠고기장조림')",1430,16
320,"('도토리묵밥(반공기)', '오징어국', '콩나물무침')",1496,8
321,"('도토리묵밥(반공기)', '오징어국', '고사리나물')",1485,9
322,"('도토리묵밥(반공기)', '오징어국', '버섯볶음')",1489,14
323,"('도토리묵밥(반공기)', '오징어국', '진미채볶음')",1494,18
324,"('도토리묵밥(반공기)', '오징어국', '낚지볶음')",1488,23
325,"('도토리묵밥(반공기)', '오징어국', '김치참치볶음')",1487,9
326,"('도토리묵밥(반공기)', '오징어국', '갈치구이')",1480,23
327,"('도토리묵밥(반공기)', '오징어국', '조기구이')",1493,14
328,"('도토리묵밥(반공기)', '오징어국', '잔멸치볶음')",1492,11
329,"('도토리묵밥(반공기)', '오징어국', '감자채볶음')",1481,13
330,"('도토리묵밥(반공기)', '오징어국', '애호박볶음')",1491,13
331,"('도토리묵밥(반공기)', '오징어국', '골뱅이무침')",1486,15
332,"('도토리묵밥(반공기)', '오징어국', '홍합무침')",1498,15
333,"('도토리묵밥(반공기)', '오징어국', '코다리찜')",1495,18
334,"('도토리묵밥(반공기)', '오징어국', '콩나물찜')",1497,24
335,"('도토리묵밥(반공기)', '오징어국', '훈제닭가슴살')",1499,17
336,"('도토리묵밥(반공기)', '오징어국', '계란프라이')",1483,13
337,"('도토리묵밥(반공기)', '오징어국', '계란찜')",1482,24
338,"('도토리묵밥(반공기)', '오징어국', '계란햄말이')",1484,18
339,"('도토리묵밥(반공기)', '오징어국', '쇠고기장조림')",1490,17
340,"('도토리묵밥(반공기)', '모시조개국', '콩나물무침')",1416,4
341,"('도토리묵밥(반공기)', '모시조개국', '고사리나물')",1405,5
342,"('도토리묵밥(반공기)', '모시조개국', '버섯볶음')",1409,10
343,"('도토리묵밥(반공기)', '모시조개국', '진미채볶음')",1414,14
344,"('도토리묵밥(반공기)', '모시조개국', '낚지볶음')",1408,19
345,"('도토리묵밥(반공기)', '모시조개국', '김치참치볶음')",1407,5
346,"('도토리묵밥(반공기)', '모시조개국', '갈치구이')",1400,19
347,"('도토리묵밥(반공기)', '모시조개국', '조기구이')",1413,10
348,"('도토리묵밥(반공기)', '모시조개국', '잔멸치볶음')",1412,7
349,"('도토리묵밥(반공기)', '모시조개국', '감자채볶음')",1401,9
350,"('도토리묵밥(반공기)', '모시조개국', '애호박볶음')",1411,9
351,"('도토리묵밥(반공기)', '모시조개국', '골뱅이무침')",1406,11
352,"('도토리묵밥(반공기)', '모시조개국', '홍합무침')",1418,11
353,"('도토리묵밥(반공기)', '모시조개국', '코다리찜')",1415,14
354,"('도토리묵밥(반공기)', '모시조개국', '콩나물찜')",1417,20
355,"('도토리묵밥(반공기)', '모시조개국', '훈제닭가슴살')",1419,13
356,"('도토리묵밥(반공기)', '모시조개국', '계란프라이')",1403,9
357,"('도토리묵밥(반공기)', '모시조개국', '계란찜')",1402,20
358,"('도토리묵밥(반공기)', '모시조개국', '계란햄말이')",1404,14
359,"('도토리묵밥(반공기)', '모시조개국', '쇠고기장조림')",1410,13
360,"('도토리묵밥(반공기)', '홍합우거지국', '콩나물무침')",1536,5
361,"('도토리묵밥(반공기)', '홍합우거지국', '고사리나물')",1525,7
362,"('도토리묵밥(반공기)', '홍합우거지국', '버섯볶음')",1529,11
363,"('도토리묵밥(반공기)', '홍합우거지국', '진미채볶음')",1534,16
364,"('도토리묵밥(반공기)', '홍합우거지국', '낚지볶음')",1528,20
365,"('도토리묵밥(반공기)', '홍합우거지국', '김치참치볶음')",1527,7
366,"('도토리묵밥(반공기)', '홍합우거지국', '갈치구이')",1520,21
367,"('도토리묵밥(반공기)', '홍합우거지국', '조기구이')",1533,11
368,"('도토리묵밥(반공기)', '홍합우거지국', '잔멸치볶음')",1532,8
369,"('도토리묵밥(반공기)', '홍합우거지국', '감자채볶음')",1521,10
370,"('도토리묵밥(반공기)', '홍합우거지국', '애호박볶음')",1531,11
371,"('도토리묵밥(반공기)', '홍합우거지국', '골뱅이무침')",1526,13
372,"('도토리묵밥(반공기)', '홍합우거지국', '홍합무침')",1538,12
373,"('도토리묵밥(반공기)', '홍합우거지국', '코다리찜')",1535,15
374,"('도토리묵밥(반공기)', '홍합우거지국', '콩나물찜')",1537,21
375,"('도토리묵밥(반공기)', '홍합우거지국', '훈제닭가슴살')",1539,14
